locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_4c67d6d0cf6c,구로구,궁동종합사회복지관,오리로22길 5,철거,2014,2023,,,,,,,,2026-06-30,구별 연간 점유율
STAT_8a9ec9230ef3,구로구,동양미래대학교 기숙사,중앙로 10-5,철거,,2022,,,,,,,,2026-06-30,구별 연간 점유율
STAT_bb1c499a038e,구로구,구로2동주민센터앞,구로동로 141,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_d5563d8ce2f2,구로구,현대오일뱅크_구로셀프주유소,조원로12길 25,철거,2019,2022,,,,,,,,2026-06-30,구별 연간 점유율
STAT_2e1abbb34621,구로구,구로구민 체육센터,고척로45길 36,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_d342021478da,구로구,오류1동텃골공영주차장,경인로15길 22,운영,2018,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_770a0515628d,금천구,독산2동주민센터,독산로 179,운영,2019,,12,0.27,0.22,0.22,0.2530637684763614,0.2068338195892465,0.18492443687336158,2026-06-30,구별 연간 점유율
STAT_f53a3d3b4ca0,금천구,청춘삘딩,시흥대로138길 10-11,철거,,2024,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_4edeb9204c20,금천구,신한은행_디지털라운지,금천구 시흥대로 97(시흥동),철거,,2024,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_951c2981ecd6,금천구,신한은행_금천점,금천구 금하로 747-1(시흥동),운영,,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_d6b3bad180a2,금천구,시흥4동 주민센터,독산로36길 14,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_5ae25e4d56ee,금천구,금천호암노인복지관,독산로72길 86-5,철거,2013,2025,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_f2fef42db86a,금천구,시흥3동 주민센터,시흥대로18길 40,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_f5261bc0d7fa,금천구,독산1동주민센터,시흥대로123길 11,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
