locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,snapshot_date,period,occupancy_rate,usage_count,year,period_end,months_observed,is_partial_year,installed_year_conflict,data_quality_status,occupancy_rate_pct,monthly_avg_usage
STAT_80e4ea4955e4,서대문구,서부제일교회 어린이도서관,가좌로 154,철거,2014,2025,12,2026-06-30,2021,,557.0,2021,2021-12-31,12,False,False,ok,,46.416666666666664
STAT_1ea51086c56a,서대문구,봉원교회 북카페 옆,봉원사2길 13,운영,2013,,12,2026-06-30,2021,,977.0,2021,2021-12-31,12,False,False,ok,,81.41666666666667
STAT_1e917029efef,서대문구,북아현동 주민센터,북아현로 24,운영,2013,,26,2026-06-30,2021,,6197.0,2021,2021-12-31,12,False,False,ok,,516.4166666666666
STAT_a3f8e0e054fd,서대문구,충현동주민센터,북아현로22길 38,운영,2018,,12,2026-06-30,2021,,1284.0,2021,2021-12-31,12,False,False,ok,,107.0
STAT_8dec4790137f,마포구,서교동교회,잔다리로6길 11,운영,2019,,12,2026-06-30,2021,0.32,1550.0,2021,2021-12-31,12,False,False,ok,32.0,129.16666666666666
STAT_8d6147041bce,마포구,성산1동주민센터,성산로 4길 15,운영,2019,,12,2026-06-30,2021,,1255.0,2021,2021-12-31,12,False,False,ok,,104.58333333333333
STAT_98a0f41ef8d7,마포구,대흥동주민센터,신촌로26길 10,운영,2013,,19,2026-06-30,2021,,2575.0,2021,2021-12-31,12,False,False,ok,,214.58333333333334
STAT_034d63886258,마포구,망원2동 치안센터,월드컵로31길 18,운영,2021,,19,2026-06-30,2021,,249.0,2021,2021-12-31,12,False,False,ok,,20.75
STAT_7481b259a196,마포구,서현교회,잔다리로7길 31,운영,2021,,19,2026-06-30,2021,,592.0,2021,2021-12-31,12,False,False,ok,,49.333333333333336
STAT_02ba68e25318,마포구,동교치안센터,신촌로2안길 27,운영,2021,,12,2026-06-30,2021,,12.0,2021,2021-12-31,12,False,False,ok,,1.0
STAT_7ab19dc12969,마포구,서강동주민센터,독막로 165,운영,2020,,12,2026-06-30,2021,,634.0,2021,2021-12-31,12,False,False,ok,,52.833333333333336
