locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_6a637bb15cd7,서대문구,신한은행_남가좌동점,서대문구 수색로2길 36(남가좌동),운영,2022,,12,,373.0,639.0,831.0,721.0,388.0,2026-06-30,개소별 이용건수
STAT_7e17681867dd,서대문구,신한은행 명지대 지점,거북골로 45(남가좌동),운영,2019,,12,920.0,1609.425,1761.0,1835.0,1572.0,457.0,2026-06-30,개소별 이용건수
STAT_cf3f5621fd55,서대문구,홍제3동 주민센터,세검정로4길 32,운영,2017,,12,1645.0,1551.0,1441.0,1554.0,1407.0,806.0,2026-06-30,개소별 이용건수
STAT_31fbd643fef2,서대문구,홍은2동 주민센터,모래내로 334,운영,2017,,19,2592.0,1569.0,1323.0,1731.0,1557.0,577.0,2026-06-30,개소별 이용건수
STAT_9a4437a9e8b3,서대문구,연희동주민센터,연희로 189,운영,2016,,19,2522.0,1850.0,1278.0,1565.0,834.0,507.0,2026-06-30,개소별 이용건수
STAT_1646029bae43,서대문구,홍은1동주민센터,홍은중앙로 85,운영,,,19,1992.0,1956.0,1636.0,1584.0,1512.0,621.0,2026-06-30,개소별 이용건수
STAT_cba02c66855e,서대문구,신한은행_연희동점,서대문구 연희맛로 28,운영,2022,,12,,588.0,434.0,691.0,611.0,248.0,2026-06-30,개소별 이용건수
STAT_80e4ea4955e4,서대문구,서부제일교회 어린이도서관,가좌로 154,철거,2014,2025,12,557.0,540.0,374.0,319.0,,,2026-06-30,개소별 이용건수
STAT_1ea51086c56a,서대문구,봉원교회 북카페 옆,봉원사2길 13,운영,2013,,12,977.0,789.0,569.0,791.0,725.0,412.0,2026-06-30,개소별 이용건수
STAT_1e917029efef,서대문구,북아현동 주민센터,북아현로 24,운영,2013,,26,6197.0,4940.0,4343.0,4873.0,4701.0,2189.0,2026-06-30,개소별 이용건수
STAT_a3f8e0e054fd,서대문구,충현동주민센터,북아현로22길 38,운영,2018,,12,1284.0,1562.0,867.0,1182.0,1369.0,574.0,2026-06-30,개소별 이용건수
STAT_8dec4790137f,마포구,서교동교회,잔다리로6길 11,운영,2019,,12,1550.0,1334.0,666.0,713.0,555.0,323.0,2026-06-30,개소별 이용건수
STAT_8d6147041bce,마포구,성산1동주민센터,성산로 4길 15,운영,2019,,12,1255.0,1052.0,533.0,509.0,339.0,89.0,2026-06-30,개소별 이용건수
STAT_98a0f41ef8d7,마포구,대흥동주민센터,신촌로26길 10,운영,2013,,19,2575.0,3133.0,2989.0,3259.0,2895.0,966.0,2026-06-30,개소별 이용건수
STAT_034d63886258,마포구,망원2동 치안센터,월드컵로31길 18,운영,2021,,19,249.0,1519.0,1194.0,1946.0,1800.0,855.0,2026-06-30,개소별 이용건수
STAT_7481b259a196,마포구,서현교회,잔다리로7길 31,운영,2021,,19,592.0,3202.0,3212.0,3284.0,2864.0,837.0,2026-06-30,개소별 이용건수
STAT_02ba68e25318,마포구,동교치안센터,신촌로2안길 27,운영,2021,,12,12.0,182.0,975.0,1446.0,1104.0,335.0,2026-06-30,개소별 이용건수
STAT_7ab19dc12969,마포구,서강동주민센터,독막로 165,운영,2020,,12,634.0,924.0,871.0,429.0,614.0,439.0,2026-06-30,개소별 이용건수
STAT_835a682c24e1,마포구,상암동주민센터후문,매봉산로2길 16,운영,,,19,229.0,195.0,172.0,804.0,780.0,516.0,2026-06-30,개소별 이용건수
STAT_0bd5f0eb3d10,마포구,신수동주민센터,독막로 192,운영,2017,,19,2593.0,1978.0,1939.0,2009.0,2023.0,1128.0,2026-06-30,개소별 이용건수
STAT_deffabebbf77,마포구,성산2동주민센터,월드컵북로30길 22,운영,2016,,19,2948.0,2108.0,1636.0,1578.0,2151.0,857.0,2026-06-30,개소별 이용건수
STAT_05cc498bda2e,마포구,연남동희망원룸주택,성미산로17길 79,운영,2015,,19,1966.0,1680.0,1433.0,1375.0,1230.0,274.0,2026-06-30,개소별 이용건수
STAT_5c94fea8d4e9,마포구,상암동 제1공영주차장,성암로 197,운영,2014,,19,2598.0,3078.0,4044.0,3806.0,3311.0,1394.0,2026-06-30,개소별 이용건수
STAT_9d348c728bd6,마포구,마포아트센터,대흥로20길 28,운영,2014,,19,2769.0,2752.0,3348.0,2591.0,2294.0,1189.0,2026-06-30,개소별 이용건수
STAT_fac888c0d055,마포구,연남동 주민커뮤니티센터,동교로41길 36,운영,2013,,26,3604.0,4190.0,3604.0,3158.0,3036.0,1870.0,2026-06-30,개소별 이용건수
STAT_6d6e701f1594,마포구,도화동 주민센터,도화길 37,운영,2013,,26,4511.0,4331.0,3904.0,5011.0,4510.0,2694.0,2026-06-30,개소별 이용건수
STAT_39d0f0d3901b,양천구,신월1동 청소년독서실,남부순환로59길 8,철거,,2024,12,163.0,399.0,235.0,,,,2026-06-30,개소별 이용건수
STAT_23de841d5965,양천구,양천나눔누리센터,중앙로 250,운영,2017,,19,3951.0,4003.0,4026.0,5132.0,5032.0,2563.0,2026-06-30,개소별 이용건수
STAT_2d04eb775967,양천구,목동실버복지문화센터,목동중앙로3길 21,운영,2016,,19,3447.0,4033.0,2662.0,2754.0,3043.0,1217.0,2026-06-30,개소별 이용건수
STAT_5e1b65d10f0f,양천구,신월3동주민센터,남부순환로54길 5,운영,2016,,19,1770.0,2721.0,2287.0,2319.0,2347.0,916.0,2026-06-30,개소별 이용건수
STAT_7cde1368b8b0,양천구,신정4동주민센터,오목로34길 5,운영,2016,,19,3991.0,4359.0,4127.0,3640.0,3076.0,1443.0,2026-06-30,개소별 이용건수
STAT_ca4ba4317e97,양천구,목동문화체육센터,목동중앙본로 73,운영,2015,,19,3775.0,3154.0,2349.0,2540.0,2330.0,1175.0,2026-06-30,개소별 이용건수
