자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
,신한은행 (구)봉천서 지점,은천로 110 (봉천동),운영,2019,,12.0,784,1149.2916666666665,1368,1405,1800,709
,신한은행 신림대학동 지점,호암로26길 58 대학동 (신림동),철거,2019,2024.0,12.0,298,377.12222222222226,388,-,-,-
,서원동주민센터,신림로 282,운영,2017,,19.0,3720,3060,2787,3473,2514,1011
,관악청소년회관,신림로23길 17,운영,2016,,26.0,4379,3284,3246,3484,3261,1472
,인헌동주민센터,남부순환로246가길 20,운영,2016,,19.0,2894,2926,3732,3219,2973,2317
,남현동 주민센터,남현1가길 29,운영,2014,,19.0,1749,1941,2014,2006,1867,661
,청룡동 주민센터,쑥고개로 44,운영,2014,,19.0,1582,1800,1648,1824,1762,592
,조원동주민센터,조원로12길 25,운영,2013,,19.0,2559,2103,2009,1994,1506,633
,신사동자치회관,조원로 151-1,운영,2013,,26.0,3787,3034,2774,1941,1532,734
,행운동주민센터,행운1길 43,운영,2013,,26.0,5317,5449,4639,5061,3655,1985
,미성동자치회관,난곡로 52길 16,철거,-,2023.0,,1770,2112,-,-,-,-
,관악구청,관악로 145,운영,2018,,19.0,2805,2286,3321,3316,3236,1913
,국사봉 체육관,국회단지길 144 51,운영,2024,,,-,-,-,24,92,56
,신림여성회관,대학길 64,운영,2018,,12.0,1209,783,664,962,1261,486
,현대오일뱅크_관악셀프주유소,남부순환로 1520,철거,2019,2024.0,12.0,727,716.0694444444445,436,-,-,-
서초구,양재1동민원분소,남부순환로 2610,운영,2020,,12.0,272,1072,1344,1541,1545,720
,양재2동주민센터,강남대로12길 44,운영,2015,,19.0,3543,3529,3183,3169,2743,1163
,언구비 공영주차장,강남대로83길 55,운영,-,,19.0,2627,2876,2911,3277,3017,1500
,방배열린문화센터,방배로 173,운영,2014,,19.0,4200,3645,3543,4113,4224,2204
,방배2동 주민센터,청두곶길 36,운영,2014,,19.0,2362,1662,1696,1551,1636,656
,방음언덕형 공영주차장,주흥3길 34,철거,-,2023.0,,612,354,-,-,-,-
,양재공영주차장,양재천로 125-10,운영,2023,,,-,-,80,245,228,295
,서초꿈나무라이온스 보금자리,언남10길 48,운영,2013,,12.0,1491,1508,1427,1147,919,482
강남구,역삼청소년수련관,논현로64길 7,운영,2019,,12.0,845,937,942,991,1233,458
,대치2동 주민센터,영동대로65길 24,운영,2017,,19.0,3268,3252,2593,3812,3368,1736
,도곡1동 주민센터,도곡로18길 57,운영,2017,,19.0,3690,3896,3516,1837,1370,448
,논현1동주민센터,학동로20길 25,운영,2015,,19.0,2773,2917,2550,2491,3186,1412
,대치4동 주민센터,도곡로77길 23,운영,2014,,47.0,11106,11479,10670,8567,11052,5481
,도곡2동주민센터,남부순환로378길 34-9,운영,2013,,26.0,4931,5077,5163,4867,4713,1874
,일원1동주민센터,양재대로55길 14,철거,2018,2023.0,19.0,1910,1848,-,-,-,-
,역삼1동 주민센터,역삼로7길 16,운영,2020,,19.0,598,1172,1516,3016,2480,1633
,현대오일뱅크_신사현대점,도산대로 163,철거,2019,2025.0,12.0,-,-,-,754,-,-
송파구,가락2동치안센터,오금로46길 55,운영,-,,12.0,335,635,750,1008,810,646
,삼전지구대,백제고분로 238,운영,2021,,12.0,52,408,1664,1774,886,130
,장지동 주민센터,새말로19길 6,철거,2017,2025.0,19.0,2330,1895,1711,1751,-,-
,거여2동주민센터,거마로2길 19,운영,2016,,19.0,2631,2310,2112,2781,3420,1570
,마천2동주민센터,마천로 287,운영,2021,,19.0,1719,1745,2480,4445,3180,1301
,석촌동주민센터,백제고분로37길 16,운영,2015,,19.0,2639,2891,3411,4497,4161,2283
,송파노인종합복지관,백제고분로32길 41,운영,2014,,19.0,3416,2323,2150,2217,3140,1271
,여의도 순복음송파교회,마천로 17,운영,2014,,19.0,3367,3027,3683,3115,3272,1175
,송파여성 문화회관,백제고분로42길 5,운영,2013,,33.0,7549,7524,7131,7584,7040,3120
,거여1동주민센터,오금로53길 32,운영,2013,,19.0,1080,1010,1383,1418,1192,725
,문정1동 주민센터,동남로 116,운영,2018,,19.0,2937,3203,3017,3483,2891,1923
강동구,강동구 평생학습관(명일동 공영주차장),구천면로 395,운영,-,,12.0,4445,2503,1244,2859,2547,1143
,천호 청소년 문화의집,천중로 61,운영,2023,,12.0,-,-,132,321,349,216
,둔촌역전통시장공영주차장,성내동 417-34,운영,2021,,19.0,11,392,902,1051,1155,435
,2001아울렛천호점,구천면로 189,철거,2016,2026.0,19.0,2372,2273,2547,1288,-,-
,강일동주민센터,아리수로93길 9-14,운영,2026,,19.0,-,-,-,-,-,4
,길동주민센터,길동 228-10,운영,2015,,12.0,895,2018,1547,2038,2002,626
,성내1동 주민센터,성내로 13,운영,2014,,19.0,3638,3823,3153,3510,3687,1821
,암사2동 주민센터,상암로3길 28,운영,2014,,19.0,3583,3226,2637,4046,2815,1031
,강동구민회관,상암로 168,운영,2014,,19.0,4293,4495,4663,4184,3668,1809
,강동구립암사도서관,고덕로20길 42,운영,2013,,19.0,3563,3296,2324,2305,1493,116
,강동구립해공도서관,올림픽로 702,운영,2021,,12.0,387,1142,1183,1227,1385,793
,구립안말경로당,풍성로45길 11,운영,2023,,12.0,-,-,31,107,31,61
